optim_strat,ith_test,time
"",1,2011.893503
"",2,2103.057480
"",3,2058.959772
"",4,2102.048581
"",5,2105.526022
"",6,2060.333024
"",7,2038.521171
"crc32",1,1565.863462
"crc32",2,1651.772286
"crc32",3,1595.905721
"crc32",4,1552.327231
"crc32",5,1591.221426
"crc32",6,1679.068758
"crc32",7,1608.956204
"asm_strcmp",1,1990.781270
"asm_strcmp",2,2001.424027
"asm_strcmp",3,2032.604436
"asm_strcmp",4,1985.990701
"asm_strcmp",5,2043.524654
"asm_strcmp",6,2045.864655
"asm_strcmp",7,2002.199759
"crc32 asm_strcmp",1,1383.991954
"crc32 asm_strcmp",2,1420.386553
"crc32 asm_strcmp",3,1425.145557
"crc32 asm_strcmp",4,1399.099758
"crc32 asm_strcmp",5,1371.681546
"crc32 asm_strcmp",6,1363.049919
"crc32 asm_strcmp",7,1396.173359
